No,Provinsi,2019,2020,2021,2022,2023,2024
1,ACEH,15660786,4142179,5534405,6954578,8943786,12924997
2,SUMATERA UTARA,47921230,14046368,17758183,23204456,27613125,42766198
3,SUMATERA BARAT,18801652,7892822,9603912,12339263,14692245,19142418
4,RIAU,18505875,5505722,6143269,8404236,11147053,17992224
5,JAMBI,7219722,2684562,3047167,3780983,4783187,8534569
6,SUMATERA SELATAN,15066778,5830094,6827337,8492364,10994493,18143118
7,BENGKULU,4098593,1520357,1770693,2113649,2957142,4571903
8,LAMPUNG,17022530,8525722,9176866,10925704,13760697,17875613
9,KEP. BANGKA BELITUNG,2429147,966097,1063989,1578407,2382969,3144851
10,KEP. RIAU,4279813,745581,835672,1511354,2295496,3491947
11,DKI JAKARTA,64617819,30914200,37634468,56008041,63622596,87233238
12,JAWA BARAT,151596961,89881532,96315313,123531743,156224371,167396804
13,JAWA TENGAH,87420826,132432379,147674185,110345715,115570236,146842040
14,DI YOGYAKARTA,20407076,19591482,22834000,25743590,30437069,38030739
15,JAWA TIMUR,85483205,127101662,159077924,200548137,207104573,218711818
16,BANTEN,41807537,28841977,36733930,38597642,44399501,48257848
17,BALI,18064134,8819530,9985110,14259714,20833503,22644939
18,NUSA TENGGARA BARAT,8579404,3372698,3138788,4091259,12922404,13769746
19,NUSA TENGGARA TIMUR,7272535,2293682,3108815,3849353,5064324,7983247
20,KALIMANTAN BARAT,8902463,1854608,2411392,3279863,4711038,8165686
21,KALIMANTAN TENGAH,5963737,1903804,1974792,2683604,4023322,6499070
22,KALIMANTAN SELATAN,9509667,4133592,4282529,5310737,7869846,11668618
23,KALIMANTAN TIMUR,10073535,2404852,2492841,5431717,7903336,12205958
24,KALIMANTAN UTARA,1550070,281667,308841,354580,588871,962342
25,SULAWESI UTARA,3144536,2480807,3732957,4421855,5398846,8202302
26,SULAWESI TENGAH,4875192,1571622,2026911,6453017,6289067,9329221
27,SULAWESI SELATAN,24416073,9215054,10228085,28599212,25426960,36518290
28,SULAWESI TENGGARA,5575499,1983012,2581155,12783046,11069947,12946373
29,GORONTALO,1346611,848058,1188830,1478813,1905921,3437439
30,SULAWESI BARAT,2374880,850899,1082502,4234501,3510961,4008524
31,MALUKU,2071851,403048,639765,612567,1061844,1856446
32,MALUKU UTARA,1594047,502711,672705,1511241,1808020,2219681
33,PAPUA BARAT,1739299,342490,485005,469876,762438,419157
34,PAPUA,2765650,686522,927123,959876,1588351,1269706
