Data Rescaling;;;
Periode;Inflasi (%);BI Rate (%);Kurs (Rp)
Jan-17;0.47;0.45;0.007736944
Feb-17;0.54;0.45;0.009026435
Mar-17;0.49;0.45;0.000644745
Apr-17;0.62;0.45;0.002578981
Mei-17;0.65;0.45;0.000644745
Jun-17;0.66;0.45;0
Jul-17;0.55;0.45;0.001289491
Agu-17;0.54;0.36;0.010315925
Sep-17;0.52;0.27;0.055770471
Okt-17;0.49;0.27;0.081560284
Nov-17;0.43;0.27;0.062862669
Des-17;0.49;0.27;0.07382334
Jan-18;0.42;0.27;0.03030303
Feb-18;0.40;0.27;0.125080593
Mar-18;0.45;0.27;0.140876854
Apr-18;0.45;0.27;0.179883946
Mei-18;0.41;0.45;0.203739523
Jun-18;0.39;0.64;0.349774339
Jul-18;0.40;0.64;0.352675693
Agu-18;0.41;0.73;0.448742747
Sep-18;0.34;0.82;0.519019987
Okt-18;0.40;0.82;0.615087041
Nov-18;0.41;0.91;0.328820116
Des-18;0.39;0.91;0.374597034
Jan-19;0.32;0.91;0.242746615
Feb-19;0.27;0.91;0.239522888
Mar-19;0.25;0.91;0.298194713
Apr-19;0.33;0.91;0.288845906
Mei-19;0.43;0.91;0.343649259
Jun-19;0.42;0.91;0.264990329
Jul-19;0.43;0.82;0.227917473
Agu-19;0.47;0.73;0.295938104
Sep-19;0.45;0.82;0.275628627
Okt-19;0.39;0.55;0.222114765
Nov-19;0.36;0.55;0.252417795
Des-19;0.30;0.55;0.18762089
Jan-20;0.29;0.55;0.110573823
Feb-20;0.36;0.45;0.294970986
Mar-20;0.35;0.36;0.982591876
Apr-20;0.29;0.36;0.592520954
Mei-20;0.19;0.36;0.455834945
Jun-20;0.14;0.27;0.316892328
Jul-20;0.05;0.18;0.430045132
Agu-20;0.00;0.18;0.398130239
Sep-20;0.02;0.18;0.515473888
Okt-20;0.03;0.18;0.441972921
Nov-20;0.06;0.09;0.260799484
Des-20;0.08;0.09;0.253384913
Jan-21;0.05;0.09;0.246615087
Feb-21;0.01;0.00;0.293359123
Mar-21;0.01;0.00;0.403932946
Apr-21;0.02;0.00;0.37040619
Mei-21;0.08;0.00;0.319471309
Jun-21;0.00;0.00;0.379432624
Jul-21;0.04;0.00;0.377820761
Agu-21;0.06;0.00;0.340103159
Sep-21;0.06;0.00;0.318504191
Okt-21;0.07;0.00;0.283687943
Nov-21;0.09;0.00;0.329142489
Des-21;0.12;0.00;0.30625403
Jan-22;0.19;0.00;0.342359768
Feb-22;0.16;0.00;0.339136041
Mar-22;0.29;0.00;0.332043843
Apr-22;0.46;0.00;0.354287556
Mei-22;0.48;0.00;0.394906512
Jun-22;0.65;0.00;0.492907801
Jul-22;0.78;0.00;0.528368794
Agu-22;0.73;0.09;0.501611863
Sep-22;1.00;0.27;0.621534494
Okt-22;0.95;0.45;0.716634429
Nov-22;0.89;0.64;0.779497099
Des-22;0.90;0.73;0.777562863
Jan-23;0.86;0.82;0.53513862
Feb-23;0.90;0.82;0.630238556
Mar-23;0.79;0.82;0.561895551
Apr-23;0.65;0.82;0.461637653
Mei-23;0.58;0.82;0.531914894
Jun-23;0.48;0.82;0.550290135
Jul-23;0.38;0.82;0.568665377
Agu-23;0.42;0.82;0.618955513
Sep-23;0.21;0.82;0.711476467
Okt-23;0.27;0.91;0.837201805
Nov-23;0.33;0.91;0.665699549
Des-23;0.28;0.91;0.676015474
Jan-24;0.27;0.91;0.798517086
Feb-24;0.31;0.91;0.758865248
Mar-24;0.37;0.91;0.816892328
Apr-24;0.36;1.00;0.944551902
Mei-24;0.33;1.00;0.945841393
Jun-24;0.26;1.00;1
Jul-24;0.17;1.00;0.967440361
Agu-24;0.17;1.00;0.673758865
Sep-24;0.11;0.91;0.586395874
Okt-24;0.08;0.91;0.777885235
Nov-24;0.05;0.91;0.820438427
Des-24;0.05;0.91;0.91650548
